Date Generated,AllimID,Name,Entity Type,Risk Labels,Primary City,Primary Country
2022-07-14 14:35:04,intent018lUW,Aral Southern Xinjiang Hongguopin Famers Professional Cooperative,"[""Entity""]","[""CnForcedLabor""]","Alar, Xinjiang",China
2022-07-14 14:35:04,intent01F6Yz,"Wusu Yuanda Cotton Industry Co., Ltd.","[""Entity"", ""Vessel""]","[""CnForcedLabor""]","Wusu, Tacheng, Xinjiang",China
2022-07-14 14:35:04,intent01GiDN,"Shihezi Tiancheng Water Saving Equipment Co., Ltd.","[""Entity""]","[""CnForcedLabor""]",,China
2022-07-14 14:35:04,intent01mMB4,"Xinjiang Xinte Crystal Silicon Hightech Co., Ltd.","[""Entity""]","[""CnForcedLabor""]","Urumqi, Xinjiang",China
2022-07-14 14:35:04,intent01sKCr,"Shihezi West Ningxin Carbon Co., Ltd.","[""Entity""]","[""CnForcedLabor""]","Shihezi, Xinjiang",China
2022-07-14 14:35:04,intent02arS7,"Yengisar Tianyan Industry Co., Ltd.","[""Entity""]","[""CnForcedLabor""]","Yengisar County, Kashgar Prefecture, Xinjiang",China
2022-07-14 14:35:04,intent02CuQE,"Hunan Xinxiang Expressway Construction Development Co., Ltd.","[""Entity""]","[""CnForcedLabor""]","Changsha, Hunan",China
2022-07-14 14:35:04,intent02VAMB,"Toli County Bing Jin Cotton Industry Co., Ltd.","[""Entity""]","[""CnForcedLabor""]","Tacheng, Xinjiang",China
2022-07-14 14:35:04,intent03amTY,"Korla Transit Station, Agricultural Production Materials Company, Xinjiang Corps Third Agricultural Division","[""Entity""]","[""CnForcedLabor""]",,China
2022-07-14 14:35:04,intent03lyKo,"Xinjiang Longtai Jufeng Concrete Co., Ltd.","[""Entity""]","[""CnForcedLabor"", ""CnRepression""]","Urumqi, Xinjiang",China